date_time,client_code,mobile_num,amount_spent,currency,product,gender,dob,refund
2021-05-12 19:22:42,109,9222356845,944,EUR,Cattle Card,M,1988-09-27,TRUE
2020-04-23 15:36:02,109,9222356845,956,INR,Cattle Card,M,1988-09-27,TRUE
2020-10-28 14:22:29,110,9222245863,779,USD,Premier Card,F,1984-09-27,FALSE
2020-10-14 21:33:55,110,9222245863,700,EUR,Amazon Card,F,1984-09-27,FALSE
2020-05-20 01:27:38,110,9222245863,505,INR,Premier Card,F,1984-09-27,FALSE
2020-05-12 23:41:00,110,9222245863,450,USD,Amazon Card,F,1984-09-27,FALSE
2021-01-03 18:56:58,111,9325489657,916,EUR,Cattle Card,M,1989-09-27,FALSE
2021-07-06 02:46:08,111,9325489657,303,INR,Premier Card,M,1989-09-27,FALSE
2021-02-20 11:08:07,111,9325489657,545,USD,Amazon Card,M,1989-09-27,FALSE
2021-02-17 12:49:43,111,9325489657,376,EUR,Cattle Card,M,1989-09-27,FALSE
2021-04-13 15:04:45,111,9325489657,354,INR,Amazon Card,M,1989-09-27,FALSE
2020-01-08 15:05:01,111,9325489657,705,USD,Cattle Card,M,1989-09-27,TRUE
2020-09-28 14:38:31,112,9334512789,418,EUR,Premier Card,F,1986-09-27,FALSE
2021-06-21 21:36:44,112,9334512789,576,INR,Amazon Card,F,1986-09-27,FALSE
2020-02-09 15:07:13,112,9334512789,875,USD,Cattle Card,F,1986-09-27,FALSE
2020-10-07 05:24:50,112,9334512789,979,EUR,Amazon Card,F,1986-09-27,FALSE
2020-05-26 15:52:12,112,9334512789,387,INR,Cattle Card,F,1986-09-27,FALSE
2021-04-18 18:19:26,112,9334512789,242,USD,Premier Card,F,1986-09-27,FALSE
2021-09-14 11:20:52,112,9334512789,644,EUR,Amazon Card,F,1986-09-27,FALSE
2021-06-26 02:56:21,112,9334512789,686,INR,Cattle Card,F,1986-09-27,FALSE
2021-02-07 09:10:36,112,9334512789,931,USD,Premier Card,F,1986-09-27,TRUE
2021-08-28 23:07:32,113,9452125875,886,EUR,Amazon Card,M,1987-09-27,FALSE
2020-12-08 21:23:18,113,9452125875,819,INR,Amazon Card,M,1987-09-27,FALSE
